id,year,title,langname,gcode,area,langfamily,affiliation,longitude,latitude
mdp.39015023969523,1969,English-Lushai dictionary / by J. F. Laldailova.,Ralte,ralt1243,Eurasia,Sino-Tibetan,"Sino-Tibetan,Kuki-Chin-Naga,Kuki-Chin,Central Kuki-Chin,Core Central Kuki-Chin,Mizoic,Mizo",NA,NA
mdp.39015023969531,1976,English-Lushai dictionary / compiled by L. Kailuia Sailo.,Ralte,ralt1243,Eurasia,Sino-Tibetan,"Sino-Tibetan,Kuki-Chin-Naga,Kuki-Chin,Central Kuki-Chin,Core Central Kuki-Chin,Mizoic,Mizo",NA,NA
inu.30000075086011,1995,English-Luxembourgish dictionary = Englesch-Letzebuergeschen dictionnaire / Lycée Michel-Rodange ; team-work directed by Jul[es] Christophory.,Luxemburgish,luxe1243,Eurasia,Indo-European,"Indo-European,Germanic,Northwest Germanic,West Germanic,High German,Middle German,West Middle German,Middle Franconian,Moselle Franconian,West Moselle Franconian,Luxemburgic",NA,NA
mdp.39015074272454,2007,English-Maay Dictionary / by Mohamed Haji Mukhtar & Omar Moalim Ahmed.,Maay,maay1238,Africa,Afro-Asiatic,"Afro-Asiatic,Cushitic,East Cushitic,Lowland East Cushitic,Southern Lowland East Cushitic,Mainstream Lowland East Cushitic,Omo-Tana,Eastern Omo-Tana",43.6182,3.22288
inu.30000055980399,1994,English-Macedonian dictionary = Rečnik anglisko-makedonski / Olga Mišeska Tomić so Mirka Mišić ... [et al.].,Macedonian,mace1250,Eurasia,Indo-European,"Indo-European,Balto-Slavic,Slavic,South Slavic,Eastern South Slavic,Macedo-Bulgarian",21.7932,41.5957
uc1.$b445432,1957,English-Malayalam dictionary._v. 2,Malayalam,mala1464,Eurasia,Dravidian,"Dravidian,South Dravidian,South Dravidian I,Tamil-Kannada,Tamil-Kota,Tamil-Toda,Tamil-Irula,Tamil-Kodagu,Tamil-Malayalam,Malayalamoid",76.7651,9.59208
coo1.ark+=13960=t7vm4t97j,1921,English-Malay dictionary = Kitab dari bahasa Inggris dan Melajoe.,Standard Malay,stan1306,Eurasia,Austronesian,"Austronesian,Malayo-Polynesian,Malayo-Sumbawan,Northand East Malayo-Sumbawan,Malayic,Nuclear Malayic,Indonesian Archipelago Malay",101.699,3.08896
inu.30000042753628,1965,English Mandinka dictionary / compiled by Muhammad I. Ashrif and B.K. Sidibe.,Mandinka,mand1436,Africa,Mande,"Mande,Western Mande,Manding-Kpelle,Central Mande,Manding-Jogo,Manding-Vai,Manding-Mokole,Manding,West Manding",-15.65394667,12.81652333
uva.x001152816,1938,English-Manx pronouncing dictionary / by J.J. Kneen.,Manx,manx1243,Eurasia,Indo-European,"Indo-European,Celtic,Nuclear Celtic,T G B Celtic,Insular Celtic,Goidelic,Modern Goidelic,Eastern Goidelic",-4.45437,54.2604
mdp.39015014192226,1966,English-Maori dictionary.,Maori,maor1246,Papunesia,Austronesian,"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Eastern Malayo-Polynesian,Oceanic,Central Pacificlinkage,Tokelau-Fijian,Polynesian,Nuclear Polynesian,Northern Outlier Polynesian-East Polynesian,Solomons Northern Outlier Polynesian-East Polynesian,Central Northern Outlier Polynesian-East Polynesian,East Polynesian,Central Eastern Polynesian",176.541,-38.2881
uva.x002519592,1993,English-Maori dictionary / H.M. Ngata.,Maori,maor1246,Papunesia,Austronesian,"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Eastern Malayo-Polynesian,Oceanic,Central Pacificlinkage,Tokelau-Fijian,Polynesian,Nuclear Polynesian,Northern Outlier Polynesian-East Polynesian,Solomons Northern Outlier Polynesian-East Polynesian,Central Northern Outlier Polynesian-East Polynesian,East Polynesian,Central Eastern Polynesian",176.541,-38.2881
mdp.39015043018749,1997,English-Marathi dictionary = Angreji-Marati sabdakosa / Ramesh V. Dhongde.,Marathi,mara1378,Eurasia,Indo-European,"Indo-European,Indo-Iranian,Indo-Aryan,Indo-Aryan Southernzone,Marathic",76.6665,17.9344
uva.x000161445,1980,English-Mbukushu dictionary / R. C. Wynne.,Mbukushu,mbuk1240,Africa,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern Bantoid,Narrow Bantu,Central-Western Bantu,Greater Luyana,Western Greater Luyana,Mashi-Mbukushi",22.5026,-17.6827
mdp.39015023967709,1973,English/Meo dictionary / by Thomas Amis Lyman.,Kedah Malay,keda1251,Eurasia,Austronesian,"Austronesian,Malayo-Polynesian,Malayo-Sumbawan,Northand East Malayo-Sumbawan,Malayic,Nuclear Malayic,Singapore Archipelago Malay",100.492,5.933
uva.x030593439,1957,"English-modern Greek and modern Greek-English dictionary; including English and Greek grammar, geographical and proper names, and abbreviations.",Modern Greek,mode1248,Eurasia,Indo-European,"Indo-European,Graeco-Phrygian,Greek,East Greek,Koineic Greek,Modern Koineic Greek,Nuclear Modern Greek",23.13,38.36
inu.30000055336261,1996,English-Ndonga dictionary / compiled by ELCIN Church Council Special Committees Resolution 292/92.,Ndonga,ndon1254,Africa,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern Bantoid,Narrow Bantu,Central-Western Bantu,Njila,Southern Njila,Kunene,Cimbebasia,Ndonga (R.20),Kwambi-Ndonga",17.35,-17.22
uc1.c070882444,1887,English-Norwegian dictionary.,Norwegian,norw1258,Eurasia,Indo-European,"Indo-European,Germanic,Northwest Germanic,North Germanic,West Scandinavian",10.71,59.92
mdp.39015066305015,1964,English-Norwegian dictionary [by] Lucie Bjerke and Haakon Søraas.,Norwegian,norw1258,Eurasia,Indo-European,"Indo-European,Germanic,Northwest Germanic,North Germanic,West Scandinavian",10.71,59.92
umn.31951p007286632,1989,English-Norwegian dictionary = Engelsk-norsk ordbok / Willy A. Kirkeby.,Norwegian,norw1258,Eurasia,Indo-European,"Indo-European,Germanic,Northwest Germanic,North Germanic,West Scandinavian",10.71,59.92
mdp.39015020574128,1981,"English-Norwegian, Norwegian-English dictionary / revised by Egill Daae Gabrielsen.",Norwegian,norw1258,Eurasia,Indo-European,"Indo-European,Germanic,Northwest Germanic,North Germanic,West Scandinavian",10.71,59.92
uva.x004782517,1972,English-Paite dictionary / compiled & edited by H. Kamkhenthang.,Paite Chin,pait1244,Eurasia,Sino-Tibetan,"Sino-Tibetan,Kuki-Chin-Naga,Kuki-Chin,Peripheral Kuki-Chin,Northeastern Kuki-Chin,Thadoic",93.6136,24.0381
uva.x001542445,1985,English-Paite (Teddim Chin) dictionary / compiled by H. Kamkhenthang.,Paite Chin,pait1244,Eurasia,Sino-Tibetan,"Sino-Tibetan,Kuki-Chin-Naga,Kuki-Chin,Peripheral Kuki-Chin,Northeastern Kuki-Chin,Thadoic",93.6136,24.0381
uc1.32106009368850,1970,English-Pali dictionary.,Pali,pali1273,Eurasia,Indo-European,"Indo-European,Indo-Iranian,Indo-Aryan,Bihari",82.251,24.5271
txu.059173018291702,1953,"English Papiamentu, Papiamentu English dictionary : grammar usage / [compiled by E.A.L. Hassell].",Papiamento,papi1253,South America,Indo-European,"Indo-European,Italic,Latino-Faliscan,Latinic,Imperial Latin,Romance,Italo-Western Romance,Western Romance,Shifted Western Romance,Southwestern Shifted Romance,West Ibero-Romance,Galician Romance,Macro-Portuguese,Upper Guinea Portuguese",290.06012,12.48485
mdp.39015014319613,1983,English Persian dictionary / Dariush Gilani.,Western Farsi,west2369,Eurasia,Indo-European,"Indo-European,Indo-Iranian,Iranian,Southwestern Iranian,Middle-Modern Persian,Modern Southwestern Iranian,Farsic-Caucasian Tat,Farsic",53.3,32.9
coo.31924014551000,1942,"English-Polish and Polish-English dictionary, by J. Stanisławski ....",Polish,poli1260,Eurasia,Indo-European,"Indo-European,Balto-Slavic,Slavic,West Slavic,Lechitic",18.6255,51.8439
pst.000030668232,-99999,English-Polish and Polish-English dictionary : słownik angielsko-polska polsko-angielska / by W. Kierst.,Polish,poli1260,Eurasia,Indo-European,"Indo-European,Balto-Slavic,Slavic,West Slavic,Lechitic",18.6255,51.8439
inu.30000057610606,1996,"English Polish learner's dictionary / C.M. Schwarz, M.A. Seaton, J. Fisiak ; [Polish translation: Jadwiga Fisiak, Michał Jankowski, Tadeusz W. Lange.",Polish,poli1260,Eurasia,Indo-European,"Indo-European,Balto-Slavic,Slavic,West Slavic,Lechitic",18.6255,51.8439
txu.059173025285120,1966,English-Portuguese and Portuguese-English dictionary.,Portuguese,port1283,Eurasia,Indo-European,"Indo-European,Italic,Latino-Faliscan,Latinic,Imperial Latin,Romance,Italo-Western Romance,Western Romance,Shifted Western Romance,Southwestern Shifted Romance,West Ibero-Romance,Galician Romance,Macro-Portuguese,Brazil-Portugal Portuguese",-8.1,39.91
mdp.39015050315855,1991,"English-Portuguese, Portuguese-English dictionary / John Whitlam, Vitoria Davies, Mike Harland.",Portuguese,port1283,Eurasia,Indo-European,"Indo-European,Italic,Latino-Faliscan,Latinic,Imperial Latin,Romance,Italo-Western Romance,Western Romance,Shifted Western Romance,Southwestern Shifted Romance,West Ibero-Romance,Galician Romance,Macro-Portuguese,Brazil-Portugal Portuguese",-8.1,39.91
mdp.39015010421397,1984,"English-Romanian dictionary / Leon Levițchi, Andrei Bantaș.",Romanian,roma1327,Eurasia,Indo-European,"Indo-European,Italic,Latino-Faliscan,Latinic,Imperial Latin,Romance,Eastern Romance,Balkan Romance",24.2256,46.3913
uva.x001842595,1987,English romanized Japanese dictionary for practical conversation / compiled by Katsuji Yabuki and Shozo Kurokawa.,Japanese,nucl1643,Eurasia,Japonic,"Japonic,Japanesic,Japan-Taiwan Japanese",135,35
mdp.39015022931383,1999,English - Roviana dictionary / Allen Hall ... [et al.].,Roviana,rovi1238,Papunesia,Austronesian,"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Eastern Malayo-Polynesian,Oceanic,Western Oceaniclinkage,Meso Melanesianlinkage,New Ireland-Northwest Solomoniclinkage,St Georgelinkage,Northwest Solomonic,New Georgia,East New Georgia,Rovianic",157.408,-8.20493
pst.32239001542048,1963,English-Russian dictionary; Anglo-russkiĭ slovarʹ : 70 000 slov i vyrazheniĭ / sost. V. K. Miuller.,Russian,russ1263,Eurasia,Indo-European,"Indo-European,Balto-Slavic,Slavic,East Slavic",50,59
inu.30000037378027,1992,English-Russian dictionary with phonetics / Oleg and Ksana Benyuch.,Russian,russ1263,Eurasia,Indo-European,"Indo-European,Balto-Slavic,Slavic,East Slavic",50,59
wu.89048452494,1959,"English-Russian dictionary. 60,000 words.",Russian,russ1263,Eurasia,Indo-European,"Indo-European,Balto-Slavic,Slavic,East Slavic",50,59
inu.30000041145560,1994,"English-Russian dictionary you can't do without = Anglo-russkiĭ slovarʹ naibolee upotrebitelʹnoĭ leksiki / S.S. Khidekelʹ, M.R. Kaulʹ.",Russian,russ1263,Eurasia,Indo-European,"Indo-European,Balto-Slavic,Slavic,East Slavic",50,59
mdp.39015018285018,1984,"English-Russian, Russian-English dictionary / Kenneth Katzner.",Russian,russ1263,Eurasia,Indo-European,"Indo-European,Balto-Slavic,Slavic,East Slavic",50,59
inu.30000047862424,1995,"English-Russian topical dictionary = Anglo-russkii tematicheskiĭ slovar' : okolo 30000 slov, tematicheskikh prilozheniĭ-52 / [sostavitel' O. Khmil].",Russian,russ1263,Eurasia,Indo-European,"Indo-European,Balto-Slavic,Slavic,East Slavic",50,59
uc1.b3576120,1975,English-Sadri dictionary / Edgar Blain.,Sadri,sadr1248,Eurasia,Indo-European,"Indo-European,Indo-Iranian,Indo-Aryan,Bihari,Western Magadhan,Sadani",84.8114,23.6585
mdp.39015035302937,1971,English-Sanskrit dictionary.,Sanskrit,sans1269,Eurasia,Indo-European,"Indo-European,Indo-Iranian,Indo-Aryan",77,20
inu.30000118377732,1937,English-Shilluk dictionary / compiled by J. A. Heasty.,Shilluk,shil1265,Africa,Nilotic,"Nilotic,Western Nilotic,Luo-Burun,Northern Lwoo",31.7926,9.85472
uc1.$b429591,1960,English-Slovene dictionary.,Slovenian,slov1268,Eurasia,Indo-European,"Indo-European,Balto-Slavic,Slavic,South Slavic,Western South Slavic",14.7766,46.2543
uva.x001665642,1989,English-slovene dictionary = Angleško-slovenski slovar / Marija Javoršek.,Slovenian,slov1268,Eurasia,Indo-European,"Indo-European,Balto-Slavic,Slavic,South Slavic,Western South Slavic",14.7766,46.2543
uva.x002626777,1994,English-Somali dictionary = Qaamuus Ingiriisi-Soomaali : advanced level.,Somali,soma1255,Africa,Afro-Asiatic,"Afro-Asiatic,Cushitic,East Cushitic,Lowland East Cushitic,Southern Lowland East Cushitic,Mainstream Lowland East Cushitic,Omo-Tana,Eastern Omo-Tana",45.152856,4.778704
mdp.39015082655435,2007,"English-Somali, Somali-English dictionary = Ingirisi Soomaali, Soomaali Ingirisi qaamuus / Maxamud Jaamac Qoorsheel.",Somali,soma1255,Africa,Afro-Asiatic,"Afro-Asiatic,Cushitic,East Cushitic,Lowland East Cushitic,Southern Lowland East Cushitic,Mainstream Lowland East Cushitic,Omo-Tana,Eastern Omo-Tana",45.152856,4.778704
mdp.39015036683038,1933,"English-Sora dictionary,",Sora,sora1254,Eurasia,Austroasiatic,"Austroasiatic,Mundaic,South Munda,Sora-Juray-Gorum,Sora-Juray",84.19,19.1213
hvd.hn5y29,1911,English-Spanish conversational dictionary with a Spanish-English vocabulary and a grammatical appendix.,Spanish,stan1288,Eurasia,Indo-European,"Indo-European,Italic,Latino-Faliscan,Latinic,Imperial Latin,Romance,Italo-Western Romance,Western Romance,Shifted Western Romance,Southwestern Shifted Romance,West Ibero-Romance,Castilic",-1.11788,40.4414
mdp.39015065405121,1902,"English-Swahili dictionary, by A. C. Madan ...",Swahili,swah1253,Africa,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern Bantoid,Narrow Bantu,East Bantu,Northeast Savanna Bantu,Northeast Coastal Bantu,Coastal N E C Bantu,Sabaki-Swahili,Swahili (G.40),Mombasa-Lamu-Inland Swahili",37.624,-8.25605
umn.31951001396941m,1969,English Swahili dictionary : (founded on Madan's English-Swahili dictionary) / by the Inter-territorial Language Committee of the East African Dependencies under the direction of the late Frederick Johnson.,Swahili,swah1253,Africa,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern Bantoid,Narrow Bantu,East Bantu,Northeast Savanna Bantu,Northeast Coastal Bantu,Coastal N E C Bantu,Sabaki-Swahili,Swahili (G.40),Mombasa-Lamu-Inland Swahili",37.624,-8.25605
mdp.39015060042978,2000,English Swahili dictionary / Willy A. Kirkeby.,Swahili,swah1253,Africa,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern Bantoid,Narrow Bantu,East Bantu,Northeast Savanna Bantu,Northeast Coastal Bantu,Coastal N E C Bantu,Sabaki-Swahili,Swahili (G.40),Mombasa-Lamu-Inland Swahili",37.624,-8.25605
mdp.49015002910066,1974,"English-Swedish dictionary, school edition = Engelsk-svensk ordbok; skolupplaga, by Karl Kärre ... [et al.]. ; with the assistance of Grenville Grove.",Swedish,swed1254,Eurasia,Indo-European,"Indo-European,Germanic,Northwest Germanic,North Germanic,North Scandinavian,East-Central Swedic,East Swedic",17.389526,59.800634
pst.000046284273,1965,English-Tagalog dictionary.,Tagalog,taga1270,Papunesia,Austronesian,"Austronesian,Malayo-Polynesian,Greater Central Philippine,Central Philippine,Tagalogic,Tagalog-Filipino",121.747,14.06
mdp.39015012426725,1977,English-Tagalog dictionary / by Leo James English.,Tagalog,taga1270,Papunesia,Austronesian,"Austronesian,Malayo-Polynesian,Greater Central Philippine,Central Philippine,Tagalogic,Tagalog-Filipino",121.747,14.06
uva.x004659888,2002,"English-Tahitian, Tahitian-English dictionary = Faʻatoro parau marite/peretane-Tahiti, Tahiti-marite/peretane / Sven Wahlroos (Taote Tīvini).",Tahitian,tahi1242,Papunesia,Austronesian,"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Eastern Malayo-Polynesian,Oceanic,Central Pacificlinkage,Tokelau-Fijian,Polynesian,Nuclear Polynesian,Northern Outlier Polynesian-East Polynesian,Solomons Northern Outlier Polynesian-East Polynesian,Central Northern Outlier Polynesian-East Polynesian,East Polynesian,Central Eastern Polynesian,Tahitian-Austral",210.55,-17.6485
mdp.39015032786017,1990,"English-Tamambo (Malo), Tamambo (Malo) - English dictionary / E.L. Sykes, Graham Miller, Marion Miller.",Tamambo,malo1243,Papunesia,Austronesian,"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Eastern Malayo-Polynesian,Oceanic,Northand Central Vanuatu,Northern Vanuatu,Espiritu Santo,Nuclear Santo,South Santo",167.16,-15.6835
mdp.39015056265245,2002,English-Telugu and Telugu-English dictionary and thesaurus = Inglīṣu-Telugu & Telugu-Inglīṣu nighaṇṭuvu / compiled by V. Rao Vemuri and Eco Foundation.,Telugu,telu1262,Eurasia,Dravidian,"Dravidian,South Dravidian,South Dravidian I I,Teluguic",78.7024,16.4529
mdp.39015024967328,1978,"English-Telugu dictionary / editor: G. N. Reddy, assistant ed.: B. Srinivasacharyulu.",Telugu,telu1262,Eurasia,Dravidian,"Dravidian,South Dravidian,South Dravidian I I,Teluguic",78.7024,16.4529
mdp.39015005341501,1955,English-Thai dictionary.,Thai,thai1261,Eurasia,Tai-Kadai,"Tai-Kadai,Kam-Tai,Daic-Beic,Daic,Central-Southwestern Tai,Wenma-Southwestern Tai,Sapa-Southwestern Tai,Southwestern Tai,Southwestern Thai P H,Lao-Thai",100.671,14.192
uc1.b5094097,1974,"English-Thai, Thai-English dictionary / by Chalermnit (romanized).",Thai,thai1261,Eurasia,Tai-Kadai,"Tai-Kadai,Kam-Tai,Daic-Beic,Daic,Central-Southwestern Tai,Wenma-Southwestern Tai,Sapa-Southwestern Tai,Southwestern Tai,Southwestern Thai P H,Lao-Thai",100.671,14.192
uiug.30112108465573,1965,"English-Tibetan colloquial dictionary, by C. A. Bell.",Tibetan,tibe1272,Eurasia,Sino-Tibetan,"Sino-Tibetan,Bodic,Bodish,Early Old Tibetan,Middle Old Tibetan,Late Old Tibetan,Central Tibetan",90.1872,28.3681
mdp.39015054074367,1999,English-Tibetan dictionary of modern Tibetan / compiled by Melvyn C. Goldstein with Ngawangthondup Narkyid.,Tibetan,tibe1272,Eurasia,Sino-Tibetan,"Sino-Tibetan,Bodic,Bodish,Early Old Tibetan,Middle Old Tibetan,Late Old Tibetan,Central Tibetan",90.1872,28.3681
mdp.39015042054380,1992,English-Tigrigna dictionary = 'Englizeñā-Tegreñā Mazgaba-Qālāt / compiled by [a] board of scholars.,Tigrinya,tigr1271,Africa,Afro-Asiatic,"Afro-Asiatic,Semitic,West Semitic,Ethiosemitic,Tigre-Tigrinya",38.9266,15.3359
inu.30000055336162,1993,English-Tigrigna dictionary / Uqbamicael Habtemariam.,Tigrinya,tigr1271,Africa,Afro-Asiatic,"Afro-Asiatic,Semitic,West Semitic,Ethiosemitic,Tigre-Tigrinya",38.9266,15.3359
uc2.ark+=13960=t3zs2pd14,1909,English-Tshi (Asante) : a dictionary = Enyiresi-Tw̌i nse̲m-asekyere̲-ṅhõma / edited by the Basel Missionary Society.,Asante,asan1239,Africa,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,Kwa Volta-Congo,Nyo,Potou-Tano,Tano,Central Tano,Akanic,Akan,Twi",NA,NA
uva.x000471301,1978,"English-Tsonga, Tsonga-English pocket dictionary.",Tsonga,tson1249,Africa,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern Bantoid,Narrow Bantu,East Bantu,Southern Bantu-Makua,Nguni-Tsonga,Tswa-Ronga (S.50)",31.8105,-23.5754
mdp.39015042112907,1987,English-Tulu dictionary / A. Manner.,Tulu,tulu1258,Eurasia,Dravidian,"Dravidian,South Dravidian,South Dravidian I,Tulu-Koraga,Tulu-Bellari",75.2651,12.8114
nyp.33433081879334,1888,English-Tulu [Tulu-English] dictionary.,Tulu,tulu1258,Eurasia,Dravidian,"Dravidian,South Dravidian,South Dravidian I,Tulu-Koraga,Tulu-Bellari",75.2651,12.8114
uva.x001635990,1988,English-Turkana dictionary / compiled by A. Barrett.,Turkana,turk1308,Africa,Nilotic,"Nilotic,Eastern Nilotic,Teso-Lotuxo-Maa,Teso-Turkana,Turkanic",35.7101,4.30688
mdp.39015066316335,1888,English-Tuḷu dictionary.,Tulu,tulu1258,Eurasia,Dravidian,"Dravidian,South Dravidian,South Dravidian I,Tulu-Koraga,Tulu-Bellari",75.2651,12.8114
umn.31951d02086677a,1956,English-Ukrainian dictionary.,Ukrainian,ukra1253,Eurasia,Indo-European,"Indo-European,Balto-Slavic,Slavic,East Slavic,Ukrainian-Rusyn",29.945,49.796
mdp.39015034041304,1993,"English-Ukrainian dictionary : about 20,000 entries / edited by Yu.O. Zhluktenko.",Ukrainian,ukra1253,Eurasia,Indo-European,"Indo-European,Balto-Slavic,Slavic,East Slavic,Ukrainian-Rusyn",29.945,49.796
mdp.49015002913003,1963,English-Ukrainian dictionary / compiled by M.L. Podvesko = Anhlo-ukraïnsʹkyĭ slovnyk / sklav M.L. Podvesko.,Ukrainian,ukra1253,Eurasia,Indo-European,"Indo-European,Balto-Slavic,Slavic,East Slavic,Ukrainian-Rusyn",29.945,49.796
mdp.39015037581058,1997,"English-Ukrainian dictionary, Ukrainian-English dictionary / [ukladachi N.M. Bykhovet͡sʹ ... et al. ; za redakt͡sii͡ei͡u I͡U.O. Z͡Hluktenka].",Ukrainian,ukra1253,Eurasia,Indo-European,"Indo-European,Balto-Slavic,Slavic,East Slavic,Ukrainian-Rusyn",29.945,49.796
inu.30000055593945,1996,English : universalʹnyĭ angliĭskiĭ i russkiĭ slovarʹ s illi͡ustrat͡sii͡ami = English : universal pictorial English and Russian dictionary / [sostavitelʹ L.S. Zolotareva].,Russian,russ1263,Eurasia,Indo-European,"Indo-European,Balto-Slavic,Slavic,East Slavic",50,59
mdp.39015052167148,1998,"English-Urdu dictionary, with over 250,000 words = Jāmiʻ Inglish Urdū ḍikshanarī / chief editor, Kalimuddin Ahmad._v.5",Urdu,urdu1245,Eurasia,Indo-European,"Indo-European,Indo-Iranian,Indo-Aryan,Indo-Aryan Centralzone,Subcontinental Central Indo-Aryan,Western Hindi,Hindustani",67,25
mdp.39015022924818,1920,English-Visayan dictionary.,Mindanao Visayan,mind1257,Papunesia,Austronesian,"Austronesian,Malayo-Polynesian,Greater Central Philippine,Central Philippine,Bisayan,Cebuano",NA,NA
miun.aqj7943.0001.001,1927,English-Visayan dictionary Jose Maria Cuenco.,Mindanao Visayan,mind1257,Papunesia,Austronesian,"Austronesian,Malayo-Polynesian,Greater Central Philippine,Central Philippine,Bisayan,Cebuano",NA,NA
iau.31858024323929,1903,English-Welsh pronouncing dictionary ... Geiriadur cynaniaethol seisoneg a chymraeg.,Welsh,wels1247,Eurasia,Indo-European,"Indo-European,Celtic,Nuclear Celtic,T G B Celtic,Insular Celtic,Brythonic,Old-Modern Welsh",-4,52
mdp.39015029436923,1992,English-White Hmong dictionary / compiled by Brian McKibben.,Hmong Daw,hmon1333,Eurasia,Hmong-Mien,"Hmong-Mien,Hmongic,Nuclear Hmongic-Ho Ne,Nuclear Hmongic,West Hmongic,Greater Chuanqiandian,Chuanqiandian,First Vernacular Hmong",103.164,21.5461
mdp.39015052565093,1985,English-Xhosa dictionary / A. Fischer ... [et al.].,Xhosa,xhos1239,Africa,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern Bantoid,Narrow Bantu,East Bantu,Southern Bantu-Makua,Nguni-Tsonga,Nguni (S.40),Southern Ndebele-Lowland,Zulu-Xhosa",28.0769,-31.0389
uc1.b4368232,1928,English-Yiddish dictionary / by Alexander Harkavy.,Western Yiddish,west2361,Eurasia,Indo-European,"Indo-European,Germanic,Northwest Germanic,West Germanic,High German,Middle German,East Middle German,Yiddish",12.2601,51.6889
coo1.ark+=13960=t2697qb42,1915,English-Yiddish encyclopedic dictionary : a complete lexicon and work of reference in all departments of knowledge / prepared under the editorship of Paul Abelson.,Western Yiddish,west2361,Eurasia,Indo-European,"Indo-European,Germanic,Northwest Germanic,West Germanic,High German,Middle German,East Middle German,Yiddish",12.2601,51.6889
inu.32000014232963,1898,English-Yiddish [Yiddish-English] dictionary.,Western Yiddish,west2361,Eurasia,Indo-European,"Indo-European,Germanic,Northwest Germanic,West Germanic,High German,Middle German,East Middle German,Yiddish",12.2601,51.6889
uva.x001312812,1985,"English-Yiddish, Yiddish-English dictionary / David Mendel Harduf.",Western Yiddish,west2361,Eurasia,Indo-European,"Indo-European,Germanic,Northwest Germanic,West Germanic,High German,Middle German,East Middle German,Yiddish",12.2601,51.6889
uva.x002764874,1995,"English-Yiddish, Yiddish-English dictionary : romanized / David C. Gross.",Western Yiddish,west2361,Eurasia,Indo-European,"Indo-European,Germanic,Northwest Germanic,West Germanic,High German,Middle German,East Middle German,Yiddish",12.2601,51.6889
chi.36296925,1890,English-Zulu dictionary.,Zulu,zulu1248,Africa,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern Bantoid,Narrow Bantu,East Bantu,Southern Bantu-Makua,Nguni-Tsonga,Nguni (S.40),Southern Ndebele-Lowland,Zulu-Xhosa",30.2,-28.9
uc1.32106011333041,1988,"English-Zulu dictionary / compiled by C. M. Doke, D. McK. Malcolm, J. M. A. Sikakana",Zulu,zulu1248,Africa,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern Bantoid,Narrow Bantu,East Bantu,Southern Bantu-Makua,Nguni-Tsonga,Nguni (S.40),Southern Ndebele-Lowland,Zulu-Xhosa",30.2,-28.9
inu.30000111590844,2006,"ʼEnglizeñā-ʼAmāreñā mazgaba qālāt = English-Amharic dictionary / ʼazagāǧ ʼAbabāyahu, prepared by Daniel Worku Kassa.",Amharic,amha1245,Africa,Afro-Asiatic,"Afro-Asiatic,Semitic,West Semitic,Ethiosemitic,South Ethiopic,Transversal South Ethiopic,Amharic-Argobba",39.543456,11.708182
wu.89001520485,1914,[ʹErekh milim] = English and Hebrew dictionary / by M.H. Bresslau.,Modern Hebrew,hebr1245,Eurasia,Afro-Asiatic,"Afro-Asiatic,Semitic,West Semitic,Central Semitic,Northwest Semitic,Canaanite,Hebrewic",35.0179,31.1056
inu.30000107393518,2004,Esan/English dictionary / A.I. Odiagbe.,Esan,esan1238,Africa,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,Benue-Congo,Akpes-Edoid,Edoid,North-Central Edoid,Central Plains Edoid",6.33917,6.25685
mdp.39015045613505,1997,"Eskimo-English, English-Eskimo dictionary = Inuktitut-English, English-Inuktitut dictionary / Arthur Thibert.",Eastern Canadian Inuktitut,east2534,North America,Eskimo-Aleut,"Eskimo-Aleut,Eskimo,Inuit",284.3861,62.1735
mdp.39015010832577,1935,"Česko-anglický slovník. Czech-English dictionary. Sestavili: H. T. Cheshire, V. Jung [et al.]_v.2",Czech,czec1258,Eurasia,Indo-European,"Indo-European,Balto-Slavic,Slavic,West Slavic,Czech-Slovak,Czech-Lach",15.10437,49.873398
wu.89032893414,1990,Essence English-Korean dictionary.,Korean,kore1280,Eurasia,Koreanic,Koreanic,128,37.5
uc1.31822034455014,2002,Essence Korean-English dictionary = Essensŭ Yŏng-Han sajŏn / Minjung Sŏrim Pʻyŏnjipkuk pʻyŏn,Korean,kore1280,Eurasia,Koreanic,Koreanic,128,37.5
